id_turma;discente;id_curso;unidade;nota;reposicao;faltas_unidade;media_final;numero_total_faltas;descricao
MATEMÁTICA ELEMENTAR;af59cc91d3cb392887a5392d8b67b749;TECNOLOGIA DA INFORMAÇÃO;2;2,6;false;0;1,8;14;REPROVADO
MATEMÁTICA ELEMENTAR;af59cc91d3cb392887a5392d8b67b749;TECNOLOGIA DA INFORMAÇÃO;3;0,9;false;0;1,8;14;REPROVADO
MATEMÁTICA ELEMENTAR;aa860aeb45e62e4c6bba474642d4ffc7;TECNOLOGIA DA INFORMAÇÃO;1;3,0;false;0;2,8;4;REPROVADO
MATEMÁTICA ELEMENTAR;aa860aeb45e62e4c6bba474642d4ffc7;TECNOLOGIA DA INFORMAÇÃO;2;3,7;false;0;2,8;4;REPROVADO
MATEMÁTICA ELEMENTAR;aa860aeb45e62e4c6bba474642d4ffc7;TECNOLOGIA DA INFORMAÇÃO;3;1,8;false;0;2,8;4;REPROVADO
MATEMÁTICA ELEMENTAR;79d8cfdcaef5f6c80f7de7995cfca607;TECNOLOGIA DA INFORMAÇÃO;1;1,5;false;0;2,3;16;REPROVADO
MATEMÁTICA ELEMENTAR;79d8cfdcaef5f6c80f7de7995cfca607;TECNOLOGIA DA INFORMAÇÃO;2;3,6;false;0;2,3;16;REPROVADO
MATEMÁTICA ELEMENTAR;79d8cfdcaef5f6c80f7de7995cfca607;TECNOLOGIA DA INFORMAÇÃO;3;1,9;false;0;2,3;16;REPROVADO
MATEMÁTICA ELEMENTAR;dbac83367b5a9080318e890ccd90a7c4;TECNOLOGIA DA INFORMAÇÃO;1;5,5;false;0;5,7;0;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;dbac83367b5a9080318e890ccd90a7c4;TECNOLOGIA DA INFORMAÇÃO;2;5,4;false;0;5,7;0;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;dbac83367b5a9080318e890ccd90a7c4;TECNOLOGIA DA INFORMAÇÃO;3;6,2;false;0;5,7;0;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;72b5d7cc7c6159fd21732728c38c85b0;TECNOLOGIA DA INFORMAÇÃO;1;5,3;false;0;4,8;0;REPROVADO
MATEMÁTICA ELEMENTAR;72b5d7cc7c6159fd21732728c38c85b0;TECNOLOGIA DA INFORMAÇÃO;2;3,0;true;0;4,8;0;REPROVADO
MATEMÁTICA ELEMENTAR;72b5d7cc7c6159fd21732728c38c85b0;TECNOLOGIA DA INFORMAÇÃO;3;3,9;false;0;4,8;0;REPROVADO
MATEMÁTICA ELEMENTAR;ba3c4f644c5f035d5e54a3c25fbcbd32;TECNOLOGIA DA INFORMAÇÃO;2;3,5;false;0;2,1;16;REPROVADO
